	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0085780	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085769	0	2.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085763	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085756	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085755	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085729	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0085704	3	0.663747764	0.549000403	0.487322856	4.565642156	0.485919059
hsa_circ_0085699	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085688	2.321928095	2.985675859	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085657	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085616	5.209453366	4.364187482	5.455890999	4.809250951	3.828676562	2.807847153
hsa_circ_0085614	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085611	2	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085567	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085523	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085502	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085495	1	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085473	1.584962501	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085472	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085465	0	0.663747764	3.718925404	0.487322856	0.658751561	0.485919059
hsa_circ_0085458	0	3.471102686	2.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0085434	3	2.663747764	3.718925404	2.809250951	0.658751561	0.485919059
hsa_circ_0085431	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085362	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085359	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0085323	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085321	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0085305	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085287	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085268	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085258	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085173	0	2.663747764	3.133962904	2.072285357	0.658751561	0.485919059
hsa_circ_0085170	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085162	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085133	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085129	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085128	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085081	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085077	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085048	2.584962501	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085045	0	0.663747764	3.356355325	0.487322856	0.658751561	0.485919059
hsa_circ_0085043	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0085006	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084984	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0084941	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084928	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084927	0	5.663747764	5.975265158	4.946754475	0.658751561	3.485919059
hsa_circ_0084868	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084781	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084765	0	0.663747764	0.549000403	0.487322856	3.828676562	0.485919059
hsa_circ_0084727	0	0.663747764	0.549000403	0.487322856	0.658751561	2.485919059
